sid,wy,tc,resid,pRDPA,pMSC,smSNODAS
1.08812e+06,2020,3.850000802361734,1.0072021551130206,821.7512024722101,748.8000019490719,315.90000164508814
1.08812e+06,2021,1.2000002212720027,5.909514496104521,1139.5616025279764,1222.5999963730574,331.7144880208803
1.223024e+06,2020,3.850000802361734,5.852400774240493,845.4299916305542,748.8000019490719,321.4999987483024
1.223024e+06,2021,4.700000014102631,4.81430980714606,1140.1092031601668,1222.5999963730574,397.73809092477495
1.31808e+06,2020,3.6000007075173173,2.724400090336701,816.800794653654,748.8000019490719,312.3999978899955
1.31808e+06,2021,2.4000004643946617,3.030375014561173,1137.042793596506,1222.5999963730574,364.57962597213407
1.492963e+06,2020,3.5500006885484297,3.826395880341579,844.3247993437047,748.8000019490719,306.99999865889544
1.492963e+06,2021,4.700000014102631,4.041601662367157,1133.293203775525,1222.5999963730574,394.279198676497
1.628076e+06,2020,3.5500006885484297,3.132391090750559,829.2723939849137,748.8000019490719,311.29999667406076
1.628076e+06,2021,2.599999984905125,3.3911696336311934,1137.8172031424049,1222.5999963730574,370.7339727287337
1.717932e+06,2020,3.8000007833928535,1.7284026181698664,837.4255988986492,748.8000019490719,309.89999958872795
1.717932e+06,2021,5.600000698777055,2.9923136359285536,1128.5671991436475,1222.5999963730574,394.0324878541402
1.748078e+06,2020,3.5500006885484297,4.030396548390399,814.6276022059915,748.8000019490719,317.8999974131584
1.748078e+06,2021,6.599999967424598,4.692399042565285,1150.6772037979358,1222.5999963730574,425.3875967586822
1.988035e+06,2020,2.5500005213013175,1.8680040063858314,822.4372014899255,748.8000019490719,300.6999992132187
1.988035e+06,2021,4.750000033071519,3.0498954703270442,1134.8524030851129,1222.5999963730574,387.86450576441894
1.947941e+06,2020,3.5500006885484297,0.11679721641536389,827.6783994046449,748.8000019490719,299.6999998688698
1.947941e+06,2021,5.600000698777055,3.926091420676812,1123.0912058734887,1222.5999963730574,394.7384945373798
1.992833e+06,2020,1.3500011767782283,1.3004045618771443,822.9584033199542,748.8000019490719,277.49999555945396
1.992833e+06,2021,5.600000698777055,3.8705911152734416,1122.608806523204,1222.5999963730574,389.4889937090054
2.067909e+06,2020,1.6500007352264596,1.6227976746560557,828.9388029086588,748.8000019490719,283.2000030577183
2.067909e+06,2021,5.900000257225294,5.736137419391127,1116.932796901107,1222.5999963730574,394.283461632442
2.328162e+06,2020,3.750000764423966,0.8836047289369731,806.086809535861,748.8000019490719,319.899998486042
2.328162e+06,2021,6.549999948455717,1.8792072332897192,1142.731995696545,1222.5999963730574,414.6816064739026
2.078051e+06,2020,3.5500006885484297,0.576391531348122,816.215204475999,748.8000019490719,305.1999964118004
2.078051e+06,2021,8.150001241929022,5.100855146288211,1130.009204648256,1222.5999963730574,424.19805784511476
2.272615e+06,2020,1.2999997038446978,10.526799514055313,793.9991983350516,748.8000019490719,274.3000009059906
2.272615e+06,2021,6.700000903961943,0.7982697063349633,1143.002802027106,1222.5999963730574,407.50133337465286
2.288056e+06,2020,3.5500006885484297,11.940806371331348,800.1080067341322,748.8000019490719,318.5000030696392
