date,tx,tn,rf,sf,sm,pa
1900-12-31,0.4744401053017965,-7.82029861120664,0,0.9002843804728972,0,0
1901-01-01,-5.385424814665398,-15.811589061006124,0.026875221470772818,0.49932455838552964,0,0
1901-01-02,-6.78272305609618,-15.570458615245744,0,2.131318830549611,0,0
1901-01-03,-7.776679700352397,-24.271916089768176,0,1.200462121197307,0,0
1901-01-04,-2.9039815113801275,-14.961997860740013,0,2.5524706493863167,0,0
1901-01-05,-3.923640246180254,-21.488482056247182,0,0.04059722776985914,0,0
1901-01-06,-2.553217204268446,-11.937113396434059,0.7294703072345515,2.231212181274551,0,0
1901-01-07,0.3142196974596899,-6.932172082176507,0.03697120511908994,6.087806480277529,0,0
1901-01-08,2.3648773413873254,-6.1865979400852416,3.2561677673555462,0.2447564831586906,0,0
1901-01-09,2.330145746101339,-5.9853537350501025,1.5817631898806097,2.7633486672139362,0.0013441631388930275,0
1901-01-10,-3.9815143997977307,-8.943121233657717,0.5471738399325254,8.925915303876126,0,0
1901-01-11,-4.4806967672401585,-8.451688599340695,0,8.31397070225303,0.003416616395687175,0
1901-01-12,-3.507465333011368,-10.882367579402171,0,6.6412014544243245,0,0
1901-01-13,-2.583327409204452,-15.72090295621436,0,0.34856025595449697,0,0
1901-01-14,1.0164593067688956,-8.229719165080898,0.1043725595158951,1.1836473379023253,0,0
1901-01-15,1.9979736711810037,-1.0588695381195614,0.22029861393578315,0.6264841732629626,0.013767038786794774,0
1901-01-16,3.8793103277492555,-2.471702805801384,2.8067898815355394,0.5585495836150803,0.009564746457590565,0
1901-01-17,-1.048773553668711,-11.328083902332565,0.20689654909670246,1.9077141648545792,0.001415713756081468,0
1901-01-18,-11.56025594941162,-22.882794198810185,0,0.31443298816511395,0,0
1901-01-19,-16.854568070887332,-26.76981868737116,0.6094916367759664,0.30462139747425027,0,0
1901-01-20,0.3013864203021486,-21.60380377567751,0,0,0,0
1901-01-21,5.0798791455832655,-7.138464270560207,0.0002843938897692602,0,0,0
1901-01-22,-3.751297542806139,-16.21006041593582,0,0.3662282192448556,0,0
1901-01-23,-2.4793103417090956,-12.349164592215399,0.02730181341784898,0.12292925251195577,0,0
1901-01-24,1.4489868513066448,-5.300782093279649,0.3051546379378204,1.8082829452561096,0,0
1901-01-25,-0.11325986416387337,-9.433522931545433,0.4149662123597732,1.6520084974353015,1.946988347348411e-05,0
1901-01-26,-6.219552070188471,-17.70181299061102,0,0.19797369508272042,0,0
1901-01-27,-2.760433706150672,-11.77212939599719,0,2.2914326156198532,0,0
1901-01-28,-4.289939572283097,-11.750302156773149,0,0.7015641627047268,0,0
1901-01-29,-8.309598308079106,-16.260078216929728,0,0.9835762549370496,0,0
1901-01-30,-6.004230367048245,-12.359296144050845,0,1.2979381238062357,0,0
1901-01-31,-6.221720592262819,-12.289975121230619,0,4.499360010202695,0,0
1901-02-01,-6.332563096842137,-15.08414504115284,0,3.9677923434449394,0,0
1901-02-02,-5.304408123261811,-18.928617146529636,0,0.32516885134320306,0,0
1901-02-03,-4.129648055209835,-17.65638109106124,0,2.8806967264047265,0,0
1901-02-04,-4.728972640615573,-11.761500156523281,0,10.23658005097054,0,0
1901-02-05,-8.219480996279373,-16.20263063699971,0,0.5846427242992359,0,0
1901-02-06,-11.127835064056375,-20.589193032892243,0,0.03554923569143263,0,0
1901-02-07,-8.730323492823823,-22.11589051954186,0,0.01848560188149711,0,0
1901-02-08,-6.97262709224686,-22.00355492594231,0,0.18016352417881787,0,0
1901-02-09,-10.012548875351033,-19.416068280162737,0,8.718485473018502,0,0
1901-02-10,-8.314077506487454,-23.185709210506673,0,3.177781724141579,0,0
1901-02-11,-4.170494096286772,-15.406327773445746,0,1.458514032353721,0,0
1901-02-12,-5.883256322329807,-15.015392862178235,0,1.1568076584290832,0,0
1901-02-13,-11.687166707947124,-20.42225384907158,0,0.1795236402417348,0,0
1901-02-14,-9.0643796561411,-19.083505165013307,0,0.021329542262419406,0,0
1901-02-15,-4.514077484840776,-13.201741902378162,0,0,0,0
1901-02-16,-1.3190899379246819,-13.323426944015292,0,0.42417347452371856,0,0
1901-02-17,-1.257269823244997,-11.14148595957751,0,0.11617490338804541,0,0
1901-02-18,-0.16928546361352387,-10.816494843394485,0,0.36885887132265627,0,0
1901-02-19,-1.4602559451828256,-7.810451501974464,0,1.3731247633960464,0,0
1901-02-20,-5.649520085962311,-13.315854970984217,0,0.6011375710712478,0,0
1901-02-21,-7.682794219016012,-19.960718095917063,0,0.04920014256986909,0,0
1901-02-22,-6.6714894733435735,-16.106932129505644,0,0.41027372660180916,0,0
1901-02-23,-8.259047320929024,-19.303626039127334,0,0.016743690675999234,0,0
1901-02-24,-7.6138286724490625,-20.97507998259348,0,0.8541770287777154,0,0
1901-02-25,-3.5502666199743387,-12.705758976927864,0,1.8970493829169817,0,0
1901-02-26,-3.692392466164042,-12.854461426502693,0,1.0952719358036707,0,0
1901-02-27,-7.148524725263415,-19.707358698297387,0,0.6688233140817622,0,0
1901-02-28,-4.949093527103971,-21.02374690849502,0,0.5774973255648038,0,0
1901-03-01,-0.10479914657096188,-14.138677573314224,0,1.016281539653062,0,0
1901-03-02,-1.3592961238524348,-13.795982935485405,0,0.6397084879612439,0,0
1901-03-03,0.7079630287366112,-18.48734447873872,1.3803412791379948,0.6352292858236335,0,0
1901-03-04,3.6983291823224924,-7.524315693011455,0.12452897523757278,0.19964450771512826,0,0
1901-03-05,-3.6093849948174666,-16.83487380326451,0.0168858869534305,1.850550988179867,0,0
1901-03-06,-10.406612166042986,-19.80782079917021,0,0.45129754027988067,0,0
1901-03-07,-4.046640596815034,-15.617596870378968,0,0.8542836661911757,0,0
1901-03-08,0.6787060120464473,-6.488162090843613,0.05492356914326342,7.7742977544924905,0,0
1901-03-09,1.481478846983218,-3.8939921654631053,0,4.698791332783921,0,0
1901-03-10,0.5908638501306085,-9.229399214085845,4.48890860073091,0.16960540203026,0,0
1901-03-11,2.3200142249660987,-3.7688944157950615,8.831780911763284,0.9174902122553836,0,0
1901-03-12,-0.2414148614589235,-5.901421984276905,0.021685033432749978,0.9752221769639025,0.08063304031544678,0
1901-03-13,-1.4286171355590336,-9.839459648006885,0,6.398222447797746,0.004723727262192181,0
1901-03-14,0.5584784972203655,-4.326519794621757,0.8755776660110957,5.439388511191896,0,0
1901-03-15,0.45261287464340766,-6.767543537609102,0,2.7228225565151605,0.008217424474249693,0
1901-03-16,-1.6161037949620725,-14.281798800750853,0.01318876691615501,0.8021329409534551,0.005456406680139781,0
1901-03-17,2.3763242031606837,-10.795662996737592,0,0.8077141782417867,0.0004016061353391075,0
1901-03-18,5.689655122238252,-7.633807335338938,0,0.2096338425503055,0.005809872086648209,0
1901-03-19,0.016245999154652982,-10.459296118861367,1.5828297150927508,4.1781015915884225,0.0007698322211839793,0
1901-03-20,1.7169569757377343,-8.312833296544943,6.399928813975687,0.28972626664737683,0.022506557882270035,0
1901-03-21,1.6426235249579229,-3.813082116632499,2.6136864016499333,0.43650906197422135,0.04711382719039613,0
1901-03-22,-0.14369001432622916,-6.796374015523325,0.15456807422671842,1.2150017577178784,0.11949889608715367,0
1901-03-23,4.227515102386305,-7.815108426897881,0.42939921328913816,0.055990046743731293,0.03306669729290089,0
1901-03-24,5.136651253132391,-0.5688233248759663,2.998826866255,0,7.7120161544657,0
1901-03-25,5.6356914132420295,1.6483825200866051,3.472520396923875,0,19.075607345435294,0
1901-03-26,6.2814077195263485,1.663419830353604,7.00593670212074,0,21.91230015133378,0
1901-03-27,2.5689655168440857,-4.2277995091589835,0.6098115668786703,0.08346960659430538,0.8840605407856932,0
1901-03-28,-1.019445429900724,-8.789939544228867,0,0.03554923569143263,0.10296148297908464,0
1901-03-29,-0.6286882373110027,-8.873800214312485,0,0,0.0004382850334703556,0
1901-03-30,1.7236402388377372,-9.610095984224658,0,0,0.0006024568199533883,0
1901-03-31,3.008354070710619,-5.688873075099759,0,0,0.012087695594228148,0
1901-04-01,6.336118022275912,-2.3952363975428197,0,0,5.272762623334824,0
1901-04-02,6.600355489882039,-4.068432279362867,0.28553145710700695,0,1.3682845067759273,0
1901-04-03,4.586349083018651,0.7256309966249819,3.9717738271564764,0.8512264411516389,10.567187894111278,0
1901-04-04,5.770778540652967,1.1658016335612467,5.1738001790455215,0.6869534300266107,17.24203993099429,0
1901-04-05,6.744365451262169,0.722680415397982,0.15897618137217906,0,18.9089186745791,0
1901-04-06,6.680199093891555,0.9267685696313146,0.04521862843093438,0,16.69466270630961,0
1901-04-07,8.09480978863713,1.09075719859998,0.01759687236649601,0,17.47576699266333,0
1901-04-08,5.448844637770777,0.04578741556420853,0.5946676109636376,0.2833274076131583,6.010485099356082,0
1901-04-09,8.626910783284252,-0.057092073842634136,0.011944543666954868,0.02861713473160327,10.020860374882211,0
1901-04-10,10.102381820149834,-0.1642374707511045,0,0,6.657516083029805,0
1901-04-11,12.015926054097815,-1.7194809782978608,0.13437610862520383,0,2.193729270423189,0
1901-04-12,13.465801614313163,-2.5824386731314566,0,0,0.5459748736827427,0
1901-04-13,14.007074299123081,0.21432634332861886,0,0,0.34633187636881846,0
1901-04-14,14.038499785707042,2.5965161754955313,0,0,0.09347248742891538,0
1901-04-15,14.871134017228318,3.702737296979452,0,0,0.08466237333853313,0
1901-04-16,17.402772851232697,1.4857092041838775,0,0,0.08331376340013379,0
1901-04-17,16.19146819441843,2.3556345549424984,0.2836829008176324,0,0.03556842440422531,0
1901-04-18,12.399786693194647,2.708247420782938,7.395911854694121,0,0,0
1901-04-19,6.9388197550687165,-0.66189122539301,2.1041236772174474,0,0,0
1901-04-20,3.7714539417964557,-0.6496267379802866,4.468183480544824,5.8342337873835515,0.39011162067326655,0
1901-04-21,7.911091385131792,0.22655528172495693,11.607571881837876,0.7716317120879899,5.3346384163295015,0
