swsid,n,perm,perimp,percov,perow,perwl
1088120,4833,medium,0.0,0.8899337885371409,0.06636043865094142,0.05827436374922407
1223024,5062,low-medium,0.0,0.8691307783484791,0.09494271039114975,0.04790201501382852
1318080,4615,medium,0.0,0.8755037919826663,0.08930877573131096,0.046916576381365156
1492963,4383,medium,0.0,0.9314784394250525,0.027898699520876123,0.05416381473876347
1628076,4105,low-medium,0.0,0.9181120584652869,0.04165651644336179,0.0536419001218027
1717932,6050,low-medium,0.0,0.8707272727272718,0.1008793388429754,0.03785785123966944
1748078,6117,low-medium,0.0,0.8832712113781274,0.0702305051495831,0.06199771129638713
1947941,4357,low-medium,0.0,0.8832935506082172,0.098177645168694,0.024705072297452373
1988035,4091,medium,0.0,0.9132119286238073,0.051009533121486185,0.0477047176729406
1992833,4207,low-medium,0.0,0.844901354884717,0.13149512716900408,0.03147135726170667
2067909,4067,medium,0.0016719940988443563,0.8748119006638821,0.09585443816080651,0.036488812392426864
2078051,4854,medium,0.0,0.8366563658838067,0.1188133498145859,0.05937371240214255
2142983,4206,medium,0.0,0.7125939134569667,0.2788968140751306,0.011345696623870655
2237869,4008,low-medium,0.009458582834331365,0.7399426147704607,0.21733532934131725,0.04212574850299401
2252734,4555,medium,0.0,0.8138221734357839,0.12866739846322717,0.0766805708013172
2272615,4003,medium,0.0,0.8473220084936295,0.08895328503622286,0.08496627529352994
2288056,5202,low-medium,0.0,0.9306266820453689,0.02323721645520954,0.06151480199923114
2328162,4000,low-medium,0.0015639999999999999,0.8598275000000022,0.11467000000000004,0.03154999999999999
2368004,4200,low-medium,0.0,0.8114619047619048,0.11386666666666673,0.09956190476190475
2407587,4424,medium,0.0,0.8477531645569611,0.09209764918625675,0.08019891500904165
2432826,5526,medium,0.0030271444082518996,0.6818512486427818,0.2959391965255157,0.0248642779587405
2473238,4095,medium,0.0,0.5939633699633701,0.2742564102564103,0.17570695970695957
2487482,4764,medium,0.004674643157010923,0.7890596137699418,0.18078085642317399,0.03287993282955499
2508226,4195,medium-high,0.0023098927294398094,0.7913063170441027,0.17161382598331354,0.04581644815256258
2517816,4103,medium,0.011162076529368774,0.5114355349744086,0.46951011455032954,0.007896660979770896
2547774,4006,medium,0.008241138292561173,0.6416824762855744,0.3304243634548177,0.024263604593110333
2547932,6531,low-medium,0.0063981013627316015,0.7518863879957167,0.23721941509722871,0.004489358444342365
2577526,4378,low-medium,0.0008387391502969392,0.8385518501598925,0.11508451347647333,0.060502512562814095
2583396,4037,medium-high,0.002147634381966806,0.9032821402031236,0.016259598711914788,0.10390884320039637
2613270,6821,medium-high,0.0,0.8556179445829045,0.03058789033866002,0.15172555343791228
2633081,4066,low-medium,0.0,0.8574397442203642,0.12028529267092973,0.029699950811608464
2638178,8545,medium,0.005435225277940329,0.8053692217671207,0.17179169104739617,0.021926272674078394
2642469,4309,low-medium,0.002327686238106289,0.7379275934091435,0.2273009979113484,0.042710605708981206
2642714,8859,medium,0.0003070323964330059,0.7921695450953844,0.15685291793656173,0.06748842984535505
2662780,4628,low-medium,0.007067415730337097,0.5645916162489202,0.41391529818496103,0.017571305099394988
2757474,5364,medium,0.004848993288590613,0.7725018642803906,0.204332587621178,0.02328113348247576
2783327,4256,medium,3.994360902255639e-05,0.9097321428571427,0.009765037593984961,0.10727443609022559
2817964,5842,low-medium,0.008683327627524844,0.5989370078740192,0.3845053064019171,0.008456008216364256
2842815,4046,medium,0.007722689075630267,0.8084676223430557,0.14740484429065753,0.04672268907563026
2843296,5185,medium,0.0,0.8527463837994211,0.06640694310511087,0.10779556412729038
2863038,4036,medium,0.0015668979187314167,0.905052031714571,0.05163528245787904,0.05529236868186328
2892910,4571,low-medium,0.009721723911616742,0.8534325092977517,0.11142419601837668,0.03160796324655438
2908160,11306,medium,0.0056325844684238565,0.6856837077657915,0.2948098354855827,0.01717318238103662
2942458,4004,medium,0.008423576423576445,0.8149050949050977,0.13733266733266752,0.050469530469530496
2962975,4345,low-medium,0.006087917146145007,0.5585040276179519,0.43128193325661734,0.004069044879171461
2988116,4040,medium,0.006833663366336649,0.8466014851485186,0.12510891089108922,0.027000000000000017
2997568,4971,low-medium,0.0036797425065379225,0.8243612955139814,0.139915509957755,0.041858780929390466
3013231,4469,medium,0.0,0.9259610651152387,0.03303647348400089,0.05466994853434772
3037240,4227,medium,0.0028876271587414235,0.8623539153063643,0.12234681807428438,0.015869410929737395
3042648,4003,medium,0.0,0.7952860354733954,0.19037721708718466,0.01911566325256059
3102677,4342,medium,0.0,0.6472800552740675,0.3475172731460163,0.006936895439889452
3107324,5732,medium,0.0031378227494766246,0.8670324494068402,0.1284856943475229,0.0010537334263782277
3107398,4110,medium,0.002183941605839415,0.870708029197081,0.08332846715328468,0.05785888077858877
3132719,4087,low-medium,0.0003660386591632004,0.8084829948617566,0.155096647908001,0.04798629801810622
3187931,4409,low-medium,0.012292129734633733,0.7093808119755067,0.2724155137219323,0.0049897936039918316
3197528,4128,medium,0.0,0.8556637596899233,0.09778100775193803,0.06207364341085266
3227626,6250,medium,0.0014415999999999997,0.7189632000000017,0.2710656000000002,0.011033600000000001
3232245,4873,medium,0.010005335522265577,0.7969956905397141,0.1845105684383337,0.008963677406115327
3253089,7167,medium,0.005820845542067829,0.8291949211664612,0.14394865355099765,0.026677828938188954
3312819,4242,medium,0.001867515322960867,0.8642409240924106,0.10731730315888739,0.034992927864215
3337914,4058,medium,0.006686052242483996,0.905502710694925,0.06917693445046827,0.023272548053228207
3342357,5361,medium,0.006519679164335028,0.9057825032643185,0.07138220481253493,0.020220108188770756
3352683,4998,medium,0.001149659863945578,0.7328211284513815,0.2486114445778313,0.02295318127250902
3383216,4314,medium,0.0,0.9059179415855348,0.06180806675938803,0.04303198887343533
3388041,5501,medium,0.009833484820941676,0.744506453372121,0.23608798400290862,0.01044900927104163
3407475,4360,medium,0.00336880733944954,0.842894495412846,0.11371559633027523,0.05256880733944952
3408109,4004,low-medium,0.007149850149850163,0.8268756243756273,0.1392907092907095,0.0338961038961039
3418318,4200,medium,0.0,0.8889095238095229,0.019533333333333326,0.12207619047619059
3497622,4382,medium,0.00837973528069376,0.8200296668188077,0.1411045184847102,0.03867640346873575
3512276,5771,medium,0.006598509790330981,0.8846491076070045,0.10678218679604923,0.001074337203257668
3527828,6713,medium,0.003930284522568161,0.9292879487561493,0.04498137941307911,0.02814241024877102
3542932,4125,medium,0.003453575757575756,0.8604460606060638,0.09605818181818186,0.0525769696969697
3552985,5411,medium,0.012843467011642988,0.8832230641286287,0.0905784513029015,0.014784697837737946
3578186,4095,medium,0.0031467643467643453,0.9166471306471327,0.04335042735042735,0.04840048840048843
3582313,4380,medium,0.0026315068493150675,0.9527168949771712,0.01592694063926941,0.03768036529680367
3582519,8796,medium,0.006145975443383366,0.7329934060936825,0.20169622555707137,0.07743974533879036
