"","sid","n","nse","ddfc","baseT","LAT","LOC_ID","LOC_NAME","LOC_NAME_ALT1","LONG","PCNT","PQUAL","TCNT","TQUAL","YRb","YRe"
"1",-1409204818,766,0.401923778746158,0.00625087630973965,3.50000932775857,44.9100074768066,-2103065049,"COE HILL","6161740",-77.879997253418,3394,0.730678148546824,3394,0.730678148546824,2005,2018
"2",-719617471,35,0.246851231145198,0.000724564198404075,-4.34398827881976,43.1716690063477,1514327557,"HAMILTON A","6153194",-79.9341735839844,2601,1.00502318392581,2601,1.00502318392581,2003,2010
"3",-431470334,1181,0.405259156758618,0.00420219652013159,0.99393190154016,44.2600021362305,1107174618,"BALDWIN","6110480",-79.3099975585938,6082,0.958852278101844,6082,0.958852278101844,2004,2022
"4",-181619022,945,0.684092614130266,0.0126279286165619,4.22873505251219,43.5100173950195,-1780768706,"OAKVILLE TWN","6155750",-79.6800079345703,5290,0.952981444784723,5313,0.957124842370744,2007,2022
"5",147794,1333,0.48084219810388,0.0208186402483564,2.54654789617766,44.6333694458008,148611,"COLDWATER WARMINSTER","6111769",-79.533332824707,17705,0.956045142826286,17705,0.956045142826286,1971,2022
"6",147838,765,0.338461401488242,0.0117116229716955,1.96775352129812,44.5999946594238,148655,"ORILLIA BRAIN","6115811",-79.4333267211914,8838,0.814787498847607,8838,0.814787498847607,1992,2022
"7",147847,617,0.347626192584758,0.00670703209137983,-3.59813996175482,44.2500114440918,148664,"PORT LAW","6116679",-80.4666595458984,6675,0.997012696041822,6585,0.983569828230022,1995,2014
"8",147857,1478,0.796168129402587,0.011598137078653,3.55182704904014,44.4000015258789,148674,"SHANTY BAY","6117684",-79.6333312988281,17894,0.994111111111111,17894,0.994111111111111,1973,2022
"9",147873,1279,0.391097746620717,0.00866263956955049,2.54683954578578,44.2667045593262,148690,"UDORA","6119055",-79.1666641235352,11838,0.994038122428415,11838,0.994038122428415,1989,2022
"10",147902,1165,0.572107644046802,0.0249986973156961,4.15568972232546,43.7000160217285,148719,"FERGUS MOE","6142402",-80.3833389282227,18994,0.877199464277467,10183,0.470281254329654,1962,2022
"11",147903,1250,0.68742870442848,0.00632354853407926,1.70853235876807,43.7333221435547,148720,"FERGUS SHAND DAM","6142400",-80.3333358764648,29711,0.985537532756161,29741,0.986532656649086,1939,2022
"12",147949,968,0.596063634540054,0.00374766840365201,2.61414155574474,44.1500244140625,148766,"BELLEVILLE","6150689",-77.4000015258789,42344,0.741888008970495,39782,0.697000490573971,1866,2022
"13",147998,348,0.332547931688096,0.00147965464330189,1.99991113515673,43.9666862487793,148815,"COBOURG STP","6151689",-78.1833267211914,16009,0.84663387804749,15400,0.814426992437463,1970,2022
"14",148014,708,0.134047945917224,0.00453151661285947,4.99922655710314,43.6333770751953,148831,"GEORGETOWN WWTP","6152695",-79.8833236694336,19313,0.886283327979441,13620,0.625028681565784,1962,2022
"15",148063,549,0.799335855469834,0.00555349055807276,0.148010650704631,44.0500450134277,148880,"MOUNTAIN VIEW","615EMR7",-77.2999954223633,11139,0.99704618689581,11104,0.993734335839598,1986,2016
"16",148077,560,0.190951955993283,0.0120111276819257,1.33800379615974,43.9167060852051,148894,"ORANGEVILLE MOE","6155790",-80.0833282470703,19862,0.990277708530687,19742,0.984294759934187,1961,2015
"17",148082,576,0.54811020673637,0.00279390489824025,-0.0607955274132923,43.8667068481445,148899,"OSHAWA WPCP","6155878",-78.8333282470703,18098,0.940204685957712,18068,0.938646163437061,1969,2022
"18",148100,497,0.786005341605325,0.00979712252401644,4.99999586522163,43.8833084106445,148917,"RICHMOND HILL","6157012",-79.4499969482422,19888,0.994549182377356,19888,0.994549182377356,1959,2014
"19",148143,547,0.759896288944532,0.00884685375998311,2.30359707030151,43.8666610717773,148960,"TORONTO BUTTONVILLE A","615HMAK",-79.3666610717773,10612,1,10612,0.999905767056162,1986,2015
"20",148175,220,0.668282589325455,0.00186520366059947,-3.27079681023883,43.666633605957,148992,"TORONTO LESTER B. PEARSON INT'L A","6158733",-79.5999984741211,27437,0.993410333466092,27437,0.993410333466092,1937,2013
"21",148185,1113,0.728768968674198,0.00804725353151657,3.474384631027,43.7833251953125,149002,"TORONTO NORTH YORK","615S001",-79.466667175293,9557,0.983939050756717,9562,0.984453824770925,1994,2021
"22",148208,896,0.417622085946877,0.0072564770757593,0.760216982867439,44.11669921875,149025,"TRENTON A","6158875",-77.533332824707,30477,0.955961230827138,30449,0.955082964775257,1935,2022
"23",148249,1662,0.615650718959804,0.00321839668425893,1.48623405021395,45.0333023071289,149066,"HALIBURTON 3","6163171",-78.5333404541016,12423,0.982521354001898,12423,0.982521354001898,1987,2022
"24",148261,79,0.761312521146764,0.00125351562556366,-2.16304087248531,44.9333267211914,149078,"MINDEN","6165195",-78.7166748046875,25460,0.544948630136986,22273,0.476733732876712,1883,2011
"25",148273,235,0.589180399887808,0.0160524993943892,4.96378639402212,44.3666229248047,149090,"PETERBOROUGH TRENT U","6166455",-78.3000106811523,16177,0.984182028350672,15953,0.970554237391251,1968,2012
"26",240000031,715,0.580220207303926,0.0107825516129797,-0.781845358071065,44.2688980102539,240000034,"MARKDALE","6114979",-80.7119445800781,3850,0.608214849921011,3936,0.621484992101105,2004,2021
"27",240000037,954,0.343509062867066,0.00249899929202588,-0.645323220392358,45.3538932800293,240000042,"RAVENSCLIFFE","6116901",-79.2702865600586,3606,0.979891304347826,3607,0.98016304347826,2006,2016
"28",240000038,287,0.692289830638823,0.0249997964947128,4.90461622189857,43.8608360290527,240000043,"TORONTO BUTTONVILLE A","6158410",-79.3686141967773,1352,1,1352,1,2015,2019
"29",240000043,46,0.752016345567107,5.25663142708512e-05,4.99469972110761,45.3666343688965,240000049,"COMBERMERE","6101820",-77.6166763305664,18864,0.956446788013993,18783,0.949297774172286,1956,2009
"30",313925993,570,0.731747177335588,0.0106263275395028,4.05046544525801,43.7000122070312,1895097175,"TORONTO EAST YORK DUSTAN","6158751",-79.3300018310547,2989,0.999665551839464,2990,1,2007,2015
"31",360000022,883,0.0338834327729228,0.00491616432348539,2.23915678260014,44.3899765014648,360000024,"BARRIE LANDFILL","6110556",-79.7400054931641,3044,0.771023302938196,3632,0.919959473150962,2011,2022
"32",360000043,673,0.630611425998709,0.018850936388641,2.47093187732566,43.6799621582031,360000045,"TORONTO INTL A","6158731",-79.630012512207,3222,0.99814126394052,3222,0.99814126394052,2013,2022
"33",526577307,737,0.738020461849665,0.0173730644072435,4.56844143857082,44.1000213623047,-1678518849,"BLACKSTOCK","6150790",-78.8166656494141,5539,0.998197873490719,5539,0.998197873490719,2001,2016
"34",1732868597,46,0.103459014864353,0.00393563289229704,-2.79430362317594,44.7458152770996,1130335353,"WIARTON A","6119500",-81.1072235107422,2601,1.00502318392581,2601,1.00502318392581,2003,2010
"35",2117998167,31,0.125732286098294,0.00103084741467731,4.49890398227844,44.1499938964844,-1476339781,"MARSH HILL","6155000",-79.0666656494141,2975,0.821596244131455,2975,0.821596244131455,2001,2011
